INFO 2014-05-07 15:07:29,200 fetch new site: http://it.ouc.edu.cn/dxx/Video.aspx?VideoID=24
INFO 2014-05-07 15:07:29,428 fetch new site: http://it.ouc.edu.cn/dxx/Video.aspx?VideoID=23
INFO 2014-05-07 15:07:29,804 fetch new site: http://it.ouc.edu.cn/dxx/Video.aspx?VideoID=21
INFO 2014-05-07 15:07:30,673 fetch new site: http://it.ouc.edu.cn/itstudio/ITflash.html
INFO 2014-05-07 15:07:31,100 fetch new site: http://it.ouc.edu.cn/dxx/Login.aspx
INFO 2014-05-07 15:07:31,221 fetch new site: http://it.ouc.edu.cn/Article.aspx?ArticleID=10262
INFO 2014-05-07 15:07:31,503 fetch new site: http://it.ouc.edu.cn/party/ArticleList.aspx?ClassID=51
INFO 2014-05-07 15:07:32,392 fetch new site: http://it.ouc.edu.cn/party/ArticleList.aspx?ClassID=54
INFO 2014-05-07 15:07:32,501 fetch new site: http://it.ouc.edu.cn/party/ArticleList.aspx?ClassID=44
INFO 2014-05-07 15:07:32,660 fetch new site: http://it.ouc.edu.cn/party/ArticleList.aspx?ClassID=35
INFO 2014-05-07 15:07:32,954 fetch new site: http://it.ouc.edu.cn/party/ArticleList.aspx?ClassID=36
INFO 2014-05-07 15:07:33,101 fetch new site: http://it.ouc.edu.cn/party/Article.aspx?ArticleID=6114
INFO 2014-05-07 15:07:33,410 fetch new site: http://it.ouc.edu.cn/party/Article.aspx?ArticleID=6064
INFO 2014-05-07 15:07:33,479 fetch new site: http://it.ouc.edu.cn/party/Article.aspx?ArticleID=5991
INFO 2014-05-07 15:07:35,618 fetch new site: http://it.ouc.edu.cn/party/Article.aspx?ArticleID=5829
INFO 2014-05-07 15:07:36,854 fetch new site: http://it.ouc.edu.cn/party/Article.aspx?ArticleID=5475
INFO 2014-05-07 15:07:39,000 fetch new site: http://it.ouc.edu.cn/party/Article.aspx?ArticleID=5215
INFO 2014-05-07 15:07:40,285 fetch new site: http://it.ouc.edu.cn/party/Article.aspx?ArticleID=4696
INFO 2014-05-07 15:07:40,668 fetch new site: http://it.ouc.edu.cn/party/Article.aspx?ArticleID=4435
INFO 2014-05-07 15:07:41,670 fetch new site: http://it.ouc.edu.cn/party/Article.aspx?ArticleID=4175
INFO 2014-05-07 15:07:42,907 fetch new site: http://it.ouc.edu.cn/party/Article.aspx?ArticleID=10391
INFO 2014-05-07 15:07:43,155 fetch new site: http://it.ouc.edu.cn/party/Article.aspx?ArticleID=10385
INFO 2014-05-07 15:07:43,411 fetch new site: http://it.ouc.edu.cn/party/Article.aspx?ArticleID=10384
INFO 2014-05-07 15:07:44,726 fetch new site: http://it.ouc.edu.cn/party/Article.aspx?ArticleID=10380
INFO 2014-05-07 15:07:45,060 fetch new site: http://it.ouc.edu.cn/party/Article.aspx?ArticleID=10379
INFO 2014-05-07 15:07:48,326 fetch new site: http://it.ouc.edu.cn/party/Article.aspx?ArticleID=10378
INFO 2014-05-07 15:07:48,578 fetch new site: http://it.ouc.edu.cn/party/Article.aspx?ArticleID=10376
INFO 2014-05-07 15:07:49,377 fetch new site: http://it.ouc.edu.cn/party/Article.aspx?ArticleID=10375
INFO 2014-05-07 15:07:49,983 fetch new site: http://it.ouc.edu.cn/party/Article.aspx?ArticleID=10373
INFO 2014-05-07 15:07:51,526 fetch new site: http://it.ouc.edu.cn/party/Article.aspx?ArticleID=10372
INFO 2014-05-07 15:07:53,683 fetch new site: http://it.ouc.edu.cn/party/Article.aspx?ArticleID=10371
INFO 2014-05-07 15:07:55,147 fetch new site: http://it.ouc.edu.cn/party/Article.aspx?ArticleID=10368
INFO 2014-05-07 15:07:56,684 fetch new site: http://it.ouc.edu.cn/party/Article.aspx?ArticleID=10367
INFO 2014-05-07 15:07:56,841 fetch new site: http://it.ouc.edu.cn/party/Article.aspx?ArticleID=10366
INFO 2014-05-07 15:08:00,074 fetch new site: http://it.ouc.edu.cn/party/Article.aspx?ArticleID=10365
INFO 2014-05-07 15:08:00,231 fetch new site: http://it.ouc.edu.cn/party/Article.aspx?ArticleID=10359
INFO 2014-05-07 15:08:01,231 fetch new site: http://it.ouc.edu.cn/party/Article.aspx?ArticleID=10357
INFO 2014-05-07 15:08:02,465 fetch new site: http://it.ouc.edu.cn/party/Article.aspx?ArticleID=10354
INFO 2014-05-07 15:08:02,903 fetch new site: http://it.ouc.edu.cn/party/www.ouc.edu.cn
DEBUG 2014-05-07 15:08:02,999 visit http://it.ouc.edu.cn/party/www.ouc.edu.cn page error(404)
INFO 2014-05-07 15:08:03,001 fetch new site: http://it.ouc.edu.cn
INFO 2014-05-07 15:08:03,195 fetch new site: http://it.ouc.edu.cn/Article.aspx?ArticleID=10269
INFO 2014-05-07 15:08:03,258 fetch new site: http://it.ouc.edu.cn/xinxi/UploadFiles_5671/2014年兵役登记花名册(1).xls
DEBUG 2014-05-07 15:08:03,367 Content-Type is not text/tml(application/vnd.ms-excel)
INFO 2014-05-07 15:08:03,377 fetch new site: http://it.ouc.edu.cn/xinxi/UploadFiles_5671/2014年预征对象花名册(1).xls
